   504	TICAM2
   505	TIRAP
   506	TLR4
   507	TMPRSS2
   508	TNF
   509	TNFAIP3
   510	TNFRSF10A
   511	TNFRSF10B
   512	TNFRSF11A
   513	TNFRSF13C
   514	TNFRSF1A
   515	TNFSF10
   516	TNFSF11
   517	TNFSF13B
   518	TNFSF14
   519	TP53
   520	TP53AIP1
   521	TPTEP2-CSNK1E
   522	TRADD
   523	TRAF1
   524	TRAF2
   525	TRAF3
   526	TRAF5
   527	TRAF6
   528	TRIM25
   529	TSC1
   530	TSC2
   531	TTI1
   532	TUBA1A
   533	TUBA1B
   534	TUBA1C
   535	TUBA3C
   536	TUBA3D
   537	TUBA3E
   538	TUBA4A
   539	TUBA8
   540	TUBAL3
   541	TYK2
   542	UBE2I
   543	ULK1
   544	ULK2
   545	VANGL1
   546	VANGL2
   547	VCAM1
   548	VEGFA
   549	VKORC1
   550	WDR24
   551	WDR59
   552	WIF1
   553	WNT1
   554	WNT10A
   555	WNT10B
   556	WNT11
   557	WNT16
   558	WNT2
   559	WNT2B
   560	WNT3
   561	WNT3A
   562	WNT4
   563	WNT5A
   564	WNT5B
   565	WNT6
   566	WNT7A
   567	WNT7B
   568	WNT8A
   569	WNT8B
   570	WNT9A
   571	WNT9B
   572	XIAP
   573	ZAP70
   574	ZNF410
   575	ZNRF3
